序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,中華統一促進黨,,108,1080108,雜支支出,全聯福利中心興安二分公司,28996870,0.00,334.00,環保袋.衛生紙等日用品,金錢,臺北市松山區****,2717*****,
2,中華統一促進黨,,108,1080108,業務費用支出,立明事務機器有限公司,29087906,0.00,7891.00,影印機租金.影印費,金錢,新北市中和區****,2508*****,
3,中華統一促進黨,,108,1080110,業務費用支出,興安郵局,,0.00,217.00,郵票,金錢,臺北市中山區****,,
4,中華統一促進黨,,108,1080114,業務費用支出,興安郵局,,0.00,88.00,郵票,金錢,臺北市中山區****,,
5,中華統一促進黨,,108,1080114,雜支支出,全家興安店,23060248,0.00,237.00,垃圾袋,金錢,,,
6,中華統一促進黨,,108,1080115,業務費用支出,興安郵局,,0.00,71.00,郵票,金錢,臺北市中山區****,,
7,中華統一促進黨,,108,1080118,業務費用支出,興安郵局,,0.00,176.00,郵票,金錢,臺北市中山區****,,
8,中華統一促進黨,,108,1080118,雜支支出,中華電信股份有限公司,81691784,0.00,2133.00,/月電話費,金錢,臺北市中正區****,0800*****,
9,中華統一促進黨,,108,1080118,雜支支出,中華電信股份有限公司,81691784,0.00,400.00,/月電話費,金錢,臺北市中山區****,0800*****,
10,中華統一促進黨,,108,1080118,雜支支出,中華電信股份有限公司,81691784,0.00,348.00,/月電話費,金錢,臺北市中正區****,0800*****,
11,中華統一促進黨,,108,1080123,雜支支出,金頻道有線電視股份有限公司,97161298,0.00,1854.00,數位視訊費//-//,金錢,臺北市中山區****,6606*****,
12,中華統一促進黨,,108,1080124,業務費用支出,興安郵局,,0.00,15.00,郵資卷,金錢,臺北市中山區****,,
13,中華統一促進黨,,108,1080124,業務費用支出,興安郵局,,0.00,57.00,郵資卷,金錢,臺北市中山區****,,
14,中華統一促進黨,,108,1080124,業務費用支出,興安郵局,,0.00,100.00,選印歷史交易工本費,金錢,臺北市中山區****,,
15,中華統一促進黨,,108,1080130,雜支支出,天玉全方位派報社,,0.00,300.00,/月聯合報,金錢,臺北市中山區****,2503*****,
16,中華統一促進黨,,108,1080131,雜支支出,全聯福利中心中山興安分公司,28429216,0.00,298.00,衛生紙,金錢,臺北市中山區****,2500*****,
17,中華統一促進黨,,108,1080131,雜支支出,翰樺電信有限公司,28193371,0.00,922.00,/月資訊處理費,金錢,臺北市中山區****,2506*****,
18,中華統一促進黨,,108,1080211,業務費用支出,立明事務機器有限公司,29087906,0.00,4880.00,影印機租金.影印費,金錢,新北市中和區****,2508*****,
19,中華統一促進黨,,108,1080214,雜支支出,岷華開發大樓管理委員會,,0.00,11268.00,/月水電及管理費,金錢,臺北市中山區****,,
20,中華統一促進黨,,108,1080215,雜支支出,台灣電力公司,03765704,0.00,10933.00,/月電費,金錢,臺北市大安區****,1911*****,
21,中華統一促進黨,,108,1080215,雜支支出,中華電信股份有限公司,81691784,0.00,937.00,/月Y,金錢,臺北市中正區****,0800*****,
22,中華統一促進黨,,108,1080221,雜支支出,中華電信股份有限公司,81691784,0.00,313.00,/月電話費,金錢,臺北市中正區****,0800*****,
23,中華統一促進黨,,108,1080221,雜支支出,中華電信股份有限公司,81691784,0.00,2019.00,/月電話費,金錢,臺北市中正區****,0800*****,
24,中華統一促進黨,,108,1080221,雜支支出,中華電信股份有限公司,81691784,0.00,400.00,/月電話費,金錢,臺北市中正區****,0800*****,
25,中華統一促進黨,,108,1080227,業務費用支出,台灣大車隊,,0.00,315.00,計程車資,金錢,臺北市****,8965*****,
26,中華統一促進黨,,108,1080304,業務費用支出,興安郵局,,0.00,122.00,郵票,金錢,臺北市中山區****,,
27,中華統一促進黨,,108,1080304,業務費用支出,天玉全方位派報社,48782284,0.00,300.00,/月聯合報,金錢,臺北市中山區****,2503*****,
28,中華統一促進黨,,108,1080304,雜支支出,翰樺電信有限公司,48699407,0.00,853.00,資訊處理費/月,金錢,臺北市中山區****,2506*****,
29,中華統一促進黨,,108,1080306,業務費用支出,和昇報業,48890447,0.00,600.00,/-月自由時報,金錢,臺北市松山區****,2988*****,
30,中華統一促進黨,,108,1080307,業務費用支出,興安郵局,,0.00,700.00,調閱/影印單據工本費,金錢,臺北市中山區****,,
31,中華統一促進黨,,108,1080307,雜支支出,中華電信股份有限公司,81691784,0.00,937.00,/月Y電話費,金錢,臺北市中正區****,0800*****,
32,中華統一促進黨,,108,1080308,雜支支出,全聯福利中心.,28429216,0.00,554.00,環保袋.衛生紙等日用品,金錢,臺北市中山區****,2500*****,
33,中華統一促進黨,,108,1080308,雜支支出,易達網股份有限公司,70555973,0.00,500.00,網路服務費,金錢,臺北市大安區****,0800*****,
34,中華統一促進黨,,108,1080312,業務費用支出,立明事務機器有限公司,,0.00,7468.00,影印機租金.影印費/月,金錢,新北市中和區****,2228*****,
